16:39:32.768 [main] INFO  by.mlechka.array.main.ArrayApplication - Maximum value in array: 5
16:39:32.779 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Array after replacement: DataArray{id=3c5a7510-0241-428f-a725-bcff27eeb2b6, numbers=[5, 2, 3, 4, 5]}
16:39:32.779 [main] INFO  by.mlechka.array.main.ArrayApplication - Array after replacement: DataArray{id=3c5a7510-0241-428f-a725-bcff27eeb2b6, numbers=[5, 2, 3, 4, 5]}
16:39:32.780 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Average value in array: 3.8
16:39:32.782 [main] INFO  by.mlechka.array.main.ArrayApplication - Average value in array: 3.8
16:39:32.782 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Sum of values in array: 19
16:39:32.783 [main] INFO  by.mlechka.array.main.ArrayApplication - Sum of values in array: 19
16:39:32.784 [main] INFO  by.mlechka.array.main.ArrayApplication - Original array: DataArray{id=9d507a58-4983-460b-8c5a-42bac984d513, numbers=[7, -1, 5, 8]}
16:39:32.784 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Minimal value in array: -1
16:39:32.784 [main] INFO  by.mlechka.array.main.ArrayApplication - Minimum value in array: -1
16:39:32.784 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Maximum value in array: 8
16:39:32.784 [main] INFO  by.mlechka.array.main.ArrayApplication - Maximum value in array: 8
16:39:32.785 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Array after replacement: DataArray{id=9d507a58-4983-460b-8c5a-42bac984d513, numbers=[7, 8, 5, 8]}
16:39:32.785 [main] INFO  by.mlechka.array.main.ArrayApplication - Array after replacement: DataArray{id=9d507a58-4983-460b-8c5a-42bac984d513, numbers=[7, 8, 5, 8]}
16:39:32.785 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Average value in array: 7.0
16:39:32.785 [main] INFO  by.mlechka.array.main.ArrayApplication - Average value in array: 7.0
16:39:32.786 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Sum of values in array: 28
16:39:32.787 [main] INFO  by.mlechka.array.main.ArrayApplication - Sum of values in array: 28
16:39:32.787 [main] INFO  by.mlechka.array.main.ArrayApplication - Original array: DataArray{id=7289041d-dd69-484d-879f-9d9b2498a946, numbers=[8, 9, 45, 6]}
16:39:32.787 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Minimal value in array: 6
16:39:32.787 [main] INFO  by.mlechka.array.main.ArrayApplication - Minimum value in array: 6
16:39:32.788 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Maximum value in array: 45
16:39:32.788 [main] INFO  by.mlechka.array.main.ArrayApplication - Maximum value in array: 45
16:39:32.789 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Array after replacement: DataArray{id=7289041d-dd69-484d-879f-9d9b2498a946, numbers=[8, 9, 45, 45]}
16:39:32.789 [main] INFO  by.mlechka.array.main.ArrayApplication - Array after replacement: DataArray{id=7289041d-dd69-484d-879f-9d9b2498a946, numbers=[8, 9, 45, 45]}
16:39:32.790 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Average value in array: 26.75
16:39:32.790 [main] INFO  by.mlechka.array.main.ArrayApplication - Average value in array: 26.75
16:39:32.790 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Sum of values in array: 107
16:39:32.791 [main] INFO  by.mlechka.array.main.ArrayApplication - Sum of values in array: 107
16:39:32.791 [main] INFO  by.mlechka.array.main.ArrayApplication - Original array: DataArray{id=c8407812-e8a3-4425-a062-380d1bd4fb4c, numbers=[-1, 1]}
16:39:32.791 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Minimal value in array: -1
16:39:32.791 [main] INFO  by.mlechka.array.main.ArrayApplication - Minimum value in array: -1
16:39:32.791 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Maximum value in array: 1
16:39:32.792 [main] INFO  by.mlechka.array.main.ArrayApplication - Maximum value in array: 1
16:39:32.792 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Array after replacement: DataArray{id=c8407812-e8a3-4425-a062-380d1bd4fb4c, numbers=[1, 1]}
16:39:32.792 [main] INFO  by.mlechka.array.main.ArrayApplication - Array after replacement: DataArray{id=c8407812-e8a3-4425-a062-380d1bd4fb4c, numbers=[1, 1]}
16:39:32.792 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Average value in array: 1.0
16:39:32.793 [main] INFO  by.mlechka.array.main.ArrayApplication - Average value in array: 1.0
16:39:32.793 [main] INFO  mlechka.array.service.impl.ArithmeticArrayServiceImpl - Sum of values in array: 2
16:39:32.793 [main] INFO  by.mlechka.array.main.ArrayApplication - Sum of values in array: 2
16:39:32.793 [main] INFO  by.mlechka.array.main.ArrayApplication - Original array: DataArray{id=3b42f5de-5588-4812-9f3e-3a893c08fc6a, numbers=[-1, -2]}
